@relation 'MLC'

@attribute F1_MINIMUM_GYR_X numeric
@attribute F2_MAXIMUM_GYR_X numeric
@attribute F3_VARIANCE_GYR_X numeric
@attribute F4_PEAK_TO_PEAK_GYR_X numeric
@attribute F5_ABS_MEAN_GYR_V numeric
@attribute F6_ENERGY_GYR_X numeric
@attribute F7_MAXIMUM_ACC_Y numeric
@attribute F8_MAXIMUM_ACC_X numeric
@attribute F9_MAXIMUM_ACC_Z numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_MEAN_ACC_Y numeric
@attribute F12_ABS_MINIMUM_ACC_V numeric
@attribute F13_ENERGY_ACC_Y numeric
@attribute F14_MINIMUM_ACC_Y numeric
@attribute F15_ENERGY_ACC_X numeric
@attribute class {Static, Screwdriving-Correct, Screwdriving-Incorrect, Snipping-Correct, Snipping-Incorrect}

@data
-0.0164795, 0.00610352, 1.54376e-05, 0.022583, 0.00435638, 0.00134087, -0.248169, -0.353271, 0.897461, 0.896484, -0.259766, 0.994629, 5.44141, -0.268066, 10.2188, Static
-0.0140381, 0.010376, 3.75509e-05, 0.0244141, 0.00760269, 0.00309753, -0.246216, -0.349121, 0.901367, 0.896484, -0.258789, 0.992188, 5.42188, -0.26709, 10.2188, Static
-0.0146484, 0.0134277, 4.17233e-05, 0.0280762, 0.00797272, 0.00346184, -0.244141, -0.348145, 0.900391, 0.897461, -0.256104, 0.994141, 5.30078, -0.26709, 10.1406, Static
-0.00976563, 0.00549316, 1.27554e-05, 0.0152588, 0.00457001, 0.00118351, -0.247192, -0.350342, 0.899414, 0.897461, -0.256348, 0.996094, 5.34375, -0.263184, 10.125, Static
-0.0195313, 0.00671387, 3.1054e-05, 0.0262451, 0.00545883, 0.00304413, -0.250244, -0.347168, 0.899414, 0.897461, -0.256836, 0.996094, 5.34766, -0.265137, 10.1016, Static
-0.0158691, 0.0427246, 0.0001176, 0.0585938, 0.0189819, 0.00974274, -0.970703, 0.116089, -0.0250244, -0.0394592, -0.990234, 0.977051, 78.75, -0.996582, 0.957031, Static
-0.022583, 0.0146484, 8.52942e-05, 0.0372314, 0.0158081, 0.00944519, -0.966797, 0.117065, -0.0289917, -0.0390625, -0.990234, 0.973145, 78.75, -0.995605, 1.01172, Static
-0.0231934, 0.0183105, 6.13928e-05, 0.0415039, 0.0116501, 0.00499725, -0.973633, 0.115051, -0.03302, -0.0446472, -0.987793, 0.97998, 78.8125, -0.992676, 0.991699, Static
-0.0170898, 0.0109863, 4.33922e-05, 0.0280762, 0.0108643, 0.0039444, -0.976563, 0.115051, -0.0370483, -0.0447083, -0.987793, 0.983887, 78.6875, -0.996582, 0.980469, Static
-0.0170898, 0.00915527, 4.5836e-05, 0.0262451, 0.0110931, 0.00388336, -0.975586, 0.115051, -0.0380249, -0.0455017, -0.989258, 0.982422, 78.8125, -0.992676, 0.992188, Static
-0.0140381, 0.0219727, 7.98702e-05, 0.0360107, 0.0141296, 0.00680542, -0.974609, 0.116089, -0.0289917, -0.0411072, -0.987793, 0.981445, 78.8125, -0.996582, 1.01953, Static
-0.012207, 0.00854492, 2.80142e-05, 0.020752, 0.0104523, 0.00286293, -0.975586, 0.118042, -0.0300293, -0.0422974, -0.986816, 0.98291, 78.8125, -0.994629, 1.04395, Static
-0.010376, 0.0128174, 4.27365e-05, 0.0231934, 0.0117264, 0.00349808, -0.973633, 0.11908, -0.0339966, -0.0421448, -0.990234, 0.97998, 78.5625, -0.995605, 1.06836, Static
